incident_id,offense_code_encoded,offense_category_name_encoded,crime_against_encoded,agency_name_encoded,ct_flag_encoded,ARREST,incident_hour
165333891,10,2,0,10,0,1,20.0
165334127,10,2,0,0,0,0,13.0
165336116,22,14,1,63,1,0,11.0
165336153,26,10,1,81,1,0,10.0
165336155,10,2,0,81,0,0,11.0
165336157,9,2,0,81,0,0,2.0
165336159,22,14,1,81,1,0,14.0
165365824,35,7,2,0,0,1,13.0
165370151,10,2,0,10,0,1,0.0
165370180,10,2,0,10,0,1,0.0
165375030,10,2,0,21,0,0,2.0
165375032,10,2,0,21,0,0,0.0
165375033,34,6,1,21,0,0,14.0
165375035,10,2,0,21,0,0,0.0
165375037,34,6,1,21,0,0,23.0
165375039,11,2,0,21,0,0,16.0
165375041,33,22,1,21,0,0,19.0
165375042,14,4,1,21,1,0,20.0
165375044,9,2,0,21,0,1,2.0
165375046,9,2,0,21,0,0,4.0
165375048,14,4,1,21,1,0,19.0
165375051,14,4,1,21,1,0,9.0
165375053,10,2,0,21,0,0,10.0
165375060,47,23,2,21,0,0,2.0
165375066,34,6,1,21,0,0,21.0
165375069,17,14,1,21,0,0,13.0
165375072,34,6,1,21,0,0,14.0
165375076,10,2,0,21,0,0,7.0
165375078,34,6,1,21,0,0,12.0
165375080,22,14,1,21,1,0,13.0
165375083,22,14,1,21,1,0,14.0
165375085,14,4,1,21,1,0,18.0
165375087,10,2,0,21,0,1,22.0
165375089,14,4,1,21,1,0,1.0
165375091,10,2,0,21,0,0,4.0
165375094,10,2,0,21,0,1,4.0
165375096,10,2,0,21,0,0,23.0
165375098,17,14,1,21,0,0,4.0
165454591,10,2,0,9,0,0,23.0
165454592,3,13,0,9,0,0,2.0
165454594,18,14,1,9,1,0,10.0
165454600,25,10,1,9,1,0,14.0
165454603,17,14,1,9,0,0,17.0
165454611,10,2,0,9,0,1,1.0
165454613,10,2,0,9,0,1,3.0
165454617,10,2,0,9,0,0,9.0
165454623,9,2,0,9,0,1,15.0
165454631,9,2,0,9,0,0,20.0
165454633,17,14,1,9,0,0,21.0
165454635,9,2,0,9,0,0,1.0
165454637,10,2,0,9,0,1,2.0
165454645,34,6,1,9,0,0,10.0
165454647,23,15,1,9,1,0,13.0
165454649,20,14,1,9,1,0,13.0
165454655,34,6,1,9,0,0,13.0
165454656,22,14,1,9,1,0,16.0
165454658,10,2,0,9,0,0,15.0
165454660,14,4,1,9,1,0,16.0
165454662,22,14,1,9,1,0,13.0
165454665,10,2,0,9,0,1,20.0
165454672,10,2,0,9,0,0,21.0
165454674,22,14,1,9,1,1,22.0
165454679,23,15,1,9,1,0,8.0
165454683,10,2,0,9,0,0,13.0
165454688,47,23,2,9,0,0,15.0
165454690,34,6,1,9,0,0,15.0
165454694,22,14,1,9,1,0,13.0
165454696,14,4,1,9,1,0,13.0
165454698,9,2,0,9,0,0,17.0
165454702,14,4,1,9,1,0,13.0
165454705,34,6,1,9,0,0,8.0
165454707,34,6,1,9,0,0,3.0
165454713,8,19,1,9,1,0,13.0
165454715,26,10,1,9,1,0,11.0
165454721,22,14,1,9,1,0,14.0
165454723,34,6,1,9,0,1,15.0
165454725,10,2,0,9,0,0,13.0
165454727,10,2,0,9,0,0,18.0
165454733,11,2,0,9,0,1,0.0
165454738,10,2,0,9,0,1,23.0
165454745,34,6,1,9,0,0,11.0
165454747,23,15,1,9,1,0,4.0
165454751,30,10,1,9,1,0,14.0
165454755,25,10,1,9,1,0,13.0
165454759,34,6,1,9,0,0,19.0
165454763,23,15,1,9,1,0,20.0
165454764,20,14,1,9,1,0,22.0
165454766,25,10,1,9,1,0,21.0
165454776,23,15,1,9,1,0,6.0
165454778,10,2,0,9,0,0,13.0
165454790,9,2,0,9,0,1,14.0
165454794,18,14,1,9,1,0,15.0
165454799,3,13,0,9,0,0,15.0
165454801,35,7,2,9,0,1,0.0
165454809,20,14,1,9,1,0,13.0
165454814,17,14,1,9,0,1,0.0
165454816,11,2,0,9,0,1,13.0
165454818,34,6,1,9,0,1,12.0
165454820,18,14,1,9,1,0,16.0
165454824,17,14,1,9,0,0,17.0
165454826,10,2,0,9,0,0,17.0
165454831,47,23,2,9,0,1,22.0
165454837,18,14,1,9,1,0,6.0
165454839,22,14,1,9,1,0,2.0
165454841,32,8,1,9,1,0,19.0
165454843,10,2,0,9,0,0,13.0
165454845,17,14,1,9,0,0,11.0
165454847,22,14,1,9,1,0,11.0
165454852,14,4,1,9,1,0,13.0
165454854,22,14,1,9,1,0,13.0
165454865,32,8,1,9,1,0,10.0
165454867,20,14,1,9,1,0,8.0
165454869,14,4,1,9,1,0,13.0
165454873,10,2,0,9,0,1,18.0
165454875,10,2,0,9,0,0,20.0
165454879,34,6,1,9,0,0,13.0
165454885,22,14,1,9,1,0,11.0
165454889,20,14,1,9,1,0,13.0
165454897,9,2,0,9,0,0,15.0
165454900,10,2,0,9,0,1,20.0
165454902,10,2,0,9,0,1,22.0
165454904,10,2,0,9,0,1,22.0
165454906,18,14,1,9,1,0,1.0
165454910,14,4,1,9,1,0,13.0
165454912,14,4,1,9,1,0,13.0
165454917,25,10,1,9,1,0,14.0
165454919,22,14,1,9,1,0,14.0
165454921,10,2,0,9,0,1,13.0
165454922,10,2,0,9,0,1,15.0
165454924,32,8,1,9,1,1,13.0
165454927,47,23,2,9,0,1,19.0
165454931,23,15,1,9,1,0,23.0
165454933,20,14,1,9,1,0,4.0
165454935,27,10,1,9,1,1,9.0
165454937,34,6,1,9,0,0,11.0
165454939,23,15,1,9,1,0,13.0
165454942,7,21,0,9,0,0,12.0
165454946,9,2,0,9,0,1,14.0
165454947,30,10,1,9,1,0,14.0
165454954,23,15,1,9,1,0,13.0
165454958,10,2,0,9,0,1,19.0
165454967,23,15,1,9,1,0,0.0
165454969,4,21,0,9,0,0,8.0
165454971,25,10,1,9,1,0,15.0
165454973,7,21,0,9,0,0,15.0
165454976,22,14,1,9,1,0,16.0
165454978,35,7,2,9,0,1,17.0
165454981,20,14,1,9,1,0,13.0
165454987,34,6,1,9,0,0,8.0
165454989,17,14,1,9,0,1,15.0
165454990,20,14,1,9,1,0,13.0
