offense_code_encoded,offense_category_name_encoded,crime_against_encoded,ct_flag_encoded,hc_flag_encoded,weapon_name_encoded,arrest_type_name_encoded,sex_code_encoded,race_desc_encoded,ethnicity_name_encoded,avg_arrestee_age,MULTIPLE_ARRESTS,ARREST
9,3,0,0,1,12,1,1,5,0,19.0,0,1
47,29,2,0,0,12,2,0,5,0,42.0,1,1
31,7,1,0,1,12,1,1,5,0,13.0,0,1
9,3,0,0,1,12,0,1,5,0,31.0,0,1
9,3,0,0,1,12,0,1,4,0,32.0,0,1
9,3,0,0,1,12,0,1,5,1,37.0,0,1
8,3,0,0,1,12,0,1,5,0,32.0,0,1
32,10,2,0,1,12,2,0,4,0,17.0,0,1
9,3,0,0,1,12,1,1,5,0,57.0,0,1
9,3,0,0,1,12,0,1,5,1,24.0,0,1
32,10,2,0,1,12,2,1,5,0,16.0,0,1
9,3,0,0,1,12,0,1,5,1,58.0,0,1
13,5,1,1,1,12,0,0,5,0,29.5,1,1
9,3,0,0,1,12,0,0,5,0,52.0,0,1
9,3,0,0,1,12,2,0,5,0,13.0,0,1
32,10,2,0,1,12,2,1,5,0,13.0,0,1
9,3,0,0,1,12,0,1,5,1,77.0,0,1
16,19,1,0,1,12,0,1,5,0,30.0,0,1
16,19,1,0,1,12,2,1,5,0,15.0,0,1
32,10,2,0,1,12,2,1,5,0,14.0,0,1
8,3,0,0,1,12,0,1,5,0,28.0,0,1
32,10,2,0,1,12,1,0,5,0,19.0,0,1
49,0,2,0,0,12,0,1,5,0,20.0,0,1
32,10,2,0,1,12,2,0,5,0,14.5,1,1
13,5,1,1,1,12,0,0,5,0,23.0,0,1
9,3,0,0,1,12,2,0,5,0,13.0,0,1
9,3,0,0,1,0,1,0,5,0,44.0,1,1
40,30,2,0,1,2,0,1,5,0,39.0,0,1
16,19,1,0,1,12,1,1,5,1,28.0,0,1
16,19,1,0,1,12,0,1,0,1,33.0,0,1
32,10,2,0,1,12,0,1,0,1,22.0,0,1
16,19,1,0,1,12,2,0,0,1,36.0,0,1
16,19,1,0,1,12,2,0,0,1,38.0,0,1
9,3,0,0,1,12,2,1,0,1,40.0,0,1
8,3,0,0,1,12,2,1,0,1,25.0,0,1
9,3,0,0,1,12,1,1,5,0,71.0,0,1
16,19,1,0,1,12,0,1,5,1,25.0,0,1
16,19,1,0,1,12,0,1,5,0,35.0,0,1
23,14,1,1,1,12,0,1,0,1,43.0,0,1
16,19,1,0,1,12,0,0,5,0,27.0,0,1
9,3,0,0,1,12,0,0,5,0,31.0,0,1
30,28,1,0,1,12,0,0,0,1,33.0,0,1
8,3,0,0,1,5,0,0,0,1,21.0,0,1
32,10,2,0,1,12,0,0,0,1,34.0,0,1
9,3,0,0,1,0,0,0,0,1,32.0,0,1
32,10,2,0,1,12,0,1,5,1,33.0,0,1
30,28,1,0,1,12,0,0,0,1,37.0,0,1
